Chemical,logFC,AveExpr,t,P.Value,adj.P.Val,B
N.oleoyl.leucine,-1.166587071,0.729331171,-3.205697193,0.005305232,0.955096448,-4.31053976
MID42065..5E...24R..24.25.dihydroxy..6.19.19.trideutrio.vitamin.D3....5E...24R..24.25.dihydroxy..6.1...11.527875,1.19080535,-0.926758682,2.831079415,0.011718328,0.955096448,-4.361256097
X872.6956.17.918715,-3.727739378,0.318532601,-2.753626463,0.013774698,0.955096448,-4.371999205
C15.H28.N6...0.73711765,1.093687143,0.585827304,2.683409065,0.015935992,0.955096448,-4.381794017
Dihydroxylycopene..OH.Rhodopin,-1.738473114,-2.982692083,-2.67581038,0.01618851,0.955096448,-4.382856721
PS.22.0.18.2.9Z.12Z.....15.174857,-1.017380536,-0.455753539,-2.612890597,0.018431817,0.955096448,-4.39167393
F.Honaucin.A,-0.684886357,0.330678661,-2.576110173,0.019877572,0.955096448,-4.396840757
C8.H13.Cl3.N8.S3,0.678783221,-1.094876091,2.532094961,0.021749736,0.955096448,-4.403033543
X1.2.Glyceryl.dinitrate,-0.739020612,0.728881247,-2.510632697,0.022722238,0.955096448,-4.40605625
DG.22.3.10Z.13Z.16Z..22.3.10Z.13Z.16Z..0.0....9.282385,-4.720246784,0.723038044,-2.506389248,0.022919338,0.955096448,-4.406654084
C8.H.Cl.O...18.793638,1.123417879,1.268482939,2.480918074,0.024136877,0.955096448,-4.410243698
Coixenolide,-4.055817687,3.410123752,-2.435800708,0.02644495,0.955096448,-4.416605432
PGF2..d4,-1.039733114,0.862629125,-2.403657774,0.028214542,0.955096448,-4.421138889
C30.H43.N.O2.S,-1.193572933,0.797565501,-2.400137723,0.028414962,0.955096448,-4.421635358
PS.P.20.0.17.2.9Z.12Z.....19.67238,-1.330378371,-0.276393258,-2.397771764,0.028550423,0.955096448,-4.42196905
PS.18.4.6Z.9Z.12Z.15Z..22.0....11.495589,-1.707904506,0.677934567,-2.385818303,0.02924413,0.955096448,-4.423654891
X196.9134.0.3448334,0.618222552,1.214106969,2.335340703,0.032351591,0.955096448,-4.43077156
Glucaric.acid,0.634700886,-0.304070848,2.311115973,0.033950166,0.955096448,-4.434184567
PS.22.0.0.0.,0.867678671,2.492220754,2.309091556,0.034087041,0.955096448,-4.434469691
